+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                                                                       description                                                                                                        |
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| Vandalism took place at 12:04. No known witnesses.                                                                                                                                                                       |
| Shoplifting took place at 03:01. Two people witnessed the event.                                                                                                                                                         |
| Theft of the CS50 duck took place at 10:15am at the Humphrey Street bakery. Interviews were conducted today with three witnesses who were present at the time – each of their interview transcripts mentions the bakery. |
| Money laundering took place at 20:30. No known witnesses.                                                                                                                                                                |
| Littering took place at 16:36. No known witnesses.                                                                                                                                                                       |
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                                                                                                                     transcript                                                                                                                                                      |
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| Sometime within ten minutes of the theft, I saw the thief get into a car in the bakery parking lot and drive away. If you have security footage from the bakery parking lot, you might want to look for cars that left the parking lot in that time frame.                                                          |
| I don't know the thief's name, but it was someone I recognized. Earlier this morning, before I arrived at Emma's bakery, I was walking by the ATM on Leggett Street and saw the thief there withdrawing some money.                                                                                                 |
| As the thief was leaving the bakery, they called someone who talked to them for less than a minute. In the call, I heard the thief say that they were planning to take the earliest flight out of Fiftyville tomorrow. The thief then asked the person on the other end of the phone to purchase the flight ticket. |
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
+----------+---------------+---------+
| activity | license_plate |  name   |
+----------+---------------+---------+
| exit     | 5P2BI95       | Vanessa |
| exit     | 94KL13X       | Bruce   |
| exit     | 6P58WS2       | Barry   |
| exit     | 4328GD8       | Luca    |
| exit     | G412CB7       | Sofia   |
| exit     | L93JTIZ       | Iman    |
| exit     | 322W7JE       | Diana   |
| exit     | 0NTHK55       | Kelsey  |
+----------+---------------+---------+
+---------+------------------+
|  name   | transaction_type |
+---------+------------------+
| Bruce   | withdraw         |
| Diana   | withdraw         |
| Brooke  | withdraw         |
| Kenny   | withdraw         |
| Iman    | withdraw         |
| Luca    | withdraw         |
| Taylor  | withdraw         |
| Benista | withdraw         |
+---------+------------------+
+----------------+----------------+
|     caller     |    receiver    |
+----------------+----------------+
| (130) 555-0289 | (996) 555-8899 |
| (499) 555-9472 | (892) 555-8872 |
| (367) 555-5533 | (375) 555-8161 |
| (499) 555-9472 | (717) 555-1342 |
| (286) 555-6063 | (676) 555-6554 |
| (770) 555-1861 | (725) 555-3243 |
| (031) 555-6622 | (910) 555-3251 |
| (826) 555-1652 | (066) 555-9701 |
| (338) 555-6650 | (704) 555-2131 |
+----------------+----------------+
+-------------+----------------+----------------+----------------+
|    name     |  phone_number  |     caller     |    receiver    |
| Barry       | (301) 555-4174 | (301) 555-4174 | (994) 555-3373 |
| Abigail     | (183) 555-7322 | (183) 555-7322 | (147) 555-6818 |
| Abigail     | (183) 555-7322 | (183) 555-7322 | (669) 555-6918 |
| Abigail     | (183) 555-7322 | (183) 555-7322 | (877) 555-0523 |
| James       | (676) 555-6554 | (676) 555-6554 | (211) 555-3762 |
| James       | (676) 555-6554 | (676) 555-6554 | (328) 555-9658 |
| James       | (676) 555-6554 | (676) 555-6554 | (608) 555-9302 |
| Larry       | (892) 555-8872 | (892) 555-8872 | (247) 555-7205 |
| Larry       | (892) 555-8872 | (892) 555-8872 | (368) 555-3561 |
| Larry       | (892) 555-8872 | (892) 555-8872 | (821) 555-5262 |
| Kristina    | (918) 555-2946 | (918) 555-2946 | (006) 555-0505 |
| Kristina    | (918) 555-2946 | (918) 555-2946 | (267) 555-2761 |
| Kristina    | (918) 555-2946 | (918) 555-2946 | (380) 555-4380 |
| Virginia    | (478) 555-1565 | (478) 555-1565 | (031) 555-6622 |
| Virginia    | (478) 555-1565 | (478) 555-1565 | (717) 555-1342 |
| Virginia    | (478) 555-1565 | (478) 555-1565 | (867) 555-9103 |
| Juan        | (337) 555-9411 | (337) 555-9411 | (060) 555-2489 |
| Juan        | (337) 555-9411 | (337) 555-9411 | (568) 555-3190 |
| Juan        | (337) 555-9411 | (337) 555-9411 | (636) 555-3370 |
| Cynthia     | (458) 555-8396 | (458) 555-8396 | (324) 555-0416 |
| Cynthia     | (458) 555-8396 | (458) 555-8396 | (455) 555-5315 |
| Cynthia     | (458) 555-8396 | (458) 555-8396 | (814) 555-5180 |
| Albert      | (042) 555-1772 | (042) 555-1772 | (095) 555-3639 |
| Albert      | (042) 555-1772 | (042) 555-1772 | (219) 555-0139 |
| Albert      | (042) 555-1772 | (042) 555-1772 | (775) 555-7584 |
| Laura       | (067) 555-4133 | (067) 555-4133 | (321) 555-6083 |
| Laura       | (067) 555-4133 | (067) 555-4133 | (502) 555-6712 |
| Laura       | (067) 555-4133 | (067) 555-4133 | (707) 555-7535 |
| Christina   | (547) 555-8781 | (547) 555-8781 | (328) 555-9658 |
| Christina   | (547) 555-8781 | (547) 555-8781 | (337) 555-9411 |
| Christina   | (547) 555-8781 | (547) 555-8781 | (398) 555-1013 |
| Cheryl      | (450) 555-8297 | (450) 555-8297 | (749) 555-4874 |
| Cheryl      | (450) 555-8297 | (450) 555-8297 | (771) 555-7880 |
| Cheryl      | (450) 555-8297 | (450) 555-8297 | (867) 555-9103 |
| Eugene      | (666) 555-5774 | (666) 555-5774 | (125) 555-8030 |
| Eugene      | (666) 555-5774 | (666) 555-5774 | (492) 555-5484 |
| Eugene      | (666) 555-5774 | (666) 555-5774 | (721) 555-1131 |
| Martha      | (007) 555-2874 | (007) 555-2874 | (188) 555-4719 |
| Martha      | (007) 555-2874 | (007) 555-2874 | (670) 555-8598 |
| Martha      | (007) 555-2874 | (007) 555-2874 | (956) 555-1395 |
| Ryan        | (901) 555-8732 | (901) 555-8732 | (095) 555-3639 |
| Ryan        | (901) 555-8732 | (901) 555-8732 | (487) 555-5865 |
| Ryan        | (901) 555-8732 | (901) 555-8732 | (491) 555-2505 |
| Megan       | (222) 555-8026 | (222) 555-8026 | (258) 555-5627 |
| Megan       | (222) 555-8026 | (222) 555-8026 | (340) 555-8872 |
| Megan       | (222) 555-8026 | (222) 555-8026 | (873) 555-8470 |
| Tyler       | (660) 555-3095 | (660) 555-3095 | (042) 555-1772 |
| Tyler       | (660) 555-3095 | (660) 555-3095 | (380) 555-4380 |
| Tyler       | (660) 555-3095 | (660) 555-3095 | (568) 555-3190 |
| Gregory     | (022) 555-4052 | (022) 555-4052 | (006) 555-0505 |
| Gregory     | (022) 555-4052 | (022) 555-4052 | (118) 555-8106 |
| Gregory     | (022) 555-4052 | (022) 555-4052 | (190) 555-4928 |
| Eric        | (869) 555-6696 | (869) 555-6696 | (458) 555-8396 |
| Eric        | (869) 555-6696 | (869) 555-6696 | (505) 555-5698 |
| Eric        | (869) 555-6696 | (869) 555-6696 | (971) 555-2231 |
| Jacob       | (037) 555-8455 | (037) 555-8455 | (356) 555-6641 |
| Jacob       | (037) 555-8455 | (037) 555-8455 | (869) 555-6696 |
| Jacob       | (037) 555-8455 | (037) 555-8455 | (918) 555-2946 |
| Brandon     | (771) 555-6667 | (771) 555-6667 | (168) 555-6126 |
| Brandon     | (771) 555-6667 | (771) 555-6667 | (190) 555-4928 |
| Brandon     | (771) 555-6667 | (771) 555-6667 | (918) 555-5327 |
| Brenda      | (831) 555-0973 | (831) 555-0973 | (033) 555-9033 |
| Brenda      | (831) 555-0973 | (831) 555-0973 | (356) 555-6641 |
| Brenda      | (831) 555-0973 | (831) 555-0973 | (499) 555-9472 |
| Judy        | (918) 555-5327 | (918) 555-5327 | (016) 555-9166 |
| Judy        | (918) 555-5327 | (918) 555-5327 | (060) 555-2489 |
| Judy        | (918) 555-5327 | (918) 555-5327 | (693) 555-7986 |
| Joan        | (711) 555-3007 | (711) 555-3007 | (113) 555-7544 |
| Joan        | (711) 555-3007 | (711) 555-3007 | (147) 555-6818 |
| Joan        | (711) 555-3007 | (711) 555-3007 | (168) 555-6126 |
| Christine   | (608) 555-9302 | (608) 555-9302 | (067) 555-4133 |
| Christine   | (608) 555-9302 | (608) 555-9302 | (725) 555-3243 |
| Christine   | (608) 555-9302 | (608) 555-9302 | (959) 555-4871 |
| Rebecca     | (891) 555-5672 | (891) 555-5672 | (222) 555-8026 |
| Rebecca     | (891) 555-5672 | (891) 555-5672 | (676) 555-6554 |
| Rebecca     | (891) 555-5672 | (891) 555-5672 | (869) 555-6696 |
| Grace       | (932) 555-1504 | (932) 555-1504 | (547) 555-8781 |
| Grace       | (932) 555-1504 | (932) 555-1504 | (738) 555-2050 |
| Grace       | (932) 555-1504 | (932) 555-1504 | (910) 555-3251 |
| Marilyn     | (568) 555-3190 | (568) 555-3190 | (022) 555-4052 |
| Marilyn     | (568) 555-3190 | (568) 555-3190 | (357) 555-0246 |
| Walter      | (544) 555-8087 | (544) 555-8087 | (020) 555-6715 |
| Walter      | (544) 555-8087 | (544) 555-8087 | (301) 555-4174 |
| Walter      | (544) 555-8087 | (544) 555-8087 | (389) 555-5198 |
| Carolyn     | (234) 555-1294 | (234) 555-1294 | (033) 555-9033 |
| Carolyn     | (234) 555-1294 | (234) 555-1294 | (772) 555-5770 |
| Carolyn     | (234) 555-1294 | (234) 555-1294 | (971) 555-2231 |
| Christopher | (775) 555-7584 | (775) 555-7584 | (123) 555-5144 |
| Christopher | (775) 555-7584 | (775) 555-7584 | (873) 555-3868 |
| Christopher | (775) 555-7584 | (775) 555-7584 | (891) 555-5672 |
| Kayla       | (487) 555-5865 | (487) 555-5865 | (222) 555-8026 |
| Kayla       | (487) 555-5865 | (487) 555-5865 | (286) 555-6063 |
| Kayla       | (487) 555-5865 | (487) 555-5865 | (342) 555-9260 |
| Alexander   | (801) 555-9266 | (801) 555-9266 | (608) 555-9302 |
| Alexander   | (801) 555-9266 | (801) 555-9266 | (814) 555-5180 |
| Alexander   | (801) 555-9266 | (801) 555-9266 | (984) 555-5921 |
| Noah        | (959) 555-4871 | (959) 555-4871 | (007) 555-2874 |
| Noah        | (959) 555-4871 | (959) 555-4871 | (357) 555-0246 |
| Noah        | (959) 555-4871 | (959) 555-4871 | (839) 555-1757 |
| Joshua      | (267) 555-2761 | (267) 555-2761 | (033) 555-9033 |
| Joshua      | (267) 555-2761 | (267) 555-2761 | (328) 555-1152 |
| Joshua      | (267) 555-2761 | (267) 555-2761 | (738) 555-2050 |
| Kelly       | (496) 555-2096 | (496) 555-2096 | (047) 555-0577 |
| Kelly       | (496) 555-2096 | (496) 555-2096 | (368) 555-3561 |
| Kenny       | (826) 555-1652 | (826) 555-1652 | (066) 555-9701 |
| Kenny       | (826) 555-1652 | (826) 555-1652 | (558) 555-9741 |
| Kenny       | (826) 555-1652 | (826) 555-1652 | (751) 555-6567 |
| Kenny       | (826) 555-1652 | (826) 555-1652 | (841) 555-3728 |
| Iman        | (829) 555-5269 | (829) 555-5269 | (022) 555-4052 |
| Iman        | (829) 555-5269 | (829) 555-5269 | (286) 555-0131 |
| Iman        | (829) 555-5269 | (829) 555-5269 | (367) 555-0409 |
| Sofia       | (130) 555-0289 | (130) 555-0289 | (042) 555-1772 |
| Sofia       | (130) 555-0289 | (130) 555-0289 | (427) 555-0556 |
| Sofia       | (130) 555-0289 | (130) 555-0289 | (730) 555-5115 |
| Sofia       | (130) 555-0289 | (130) 555-0289 | (996) 555-8899 |
| Lauren      | (707) 555-7535 | (707) 555-7535 | (031) 555-6622 |
| Lauren      | (707) 555-7535 | (707) 555-7535 | (238) 555-5554 |
| Lauren      | (707) 555-7535 | (707) 555-7535 | (956) 555-1395 |
| Catherine   | (020) 555-6715 | (020) 555-6715 | (367) 555-5533 |
| Catherine   | (020) 555-6715 | (020) 555-6715 | (558) 555-9741 |
| Catherine   | (020) 555-6715 | (020) 555-6715 | (676) 555-6554 |
| Teresa      | (041) 555-4011 | (041) 555-4011 | (321) 555-6083 |
| Teresa      | (041) 555-4011 | (041) 555-4011 | (609) 555-5876 |
| Teresa      | (041) 555-4011 | (041) 555-4011 | (771) 555-7880 |
| Carol       | (168) 555-6126 | (168) 555-6126 | (037) 555-8455 |
| Carol       | (168) 555-6126 | (168) 555-6126 | (618) 555-9856 |
| Carol       | (168) 555-6126 | (168) 555-6126 | (869) 555-6696 |
| Ruth        | (772) 555-5770 | (772) 555-5770 | (020) 555-6715 |
| Ruth        | (772) 555-5770 | (772) 555-5770 | (367) 555-0409 |
| Ruth        | (772) 555-5770 | (772) 555-5770 | (789) 555-8833 |
| Benista     | (338) 555-6650 | (338) 555-6650 | (037) 555-8455 |
| Benista     | (338) 555-6650 | (338) 555-6650 | (183) 555-7322 |
| Benista     | (338) 555-6650 | (338) 555-6650 | (478) 555-1565 |
| Benista     | (338) 555-6650 | (338) 555-6650 | (704) 555-2131 |
| Sara        | (340) 555-8872 | (340) 555-8872 | (247) 555-7205 |
| Sara        | (340) 555-8872 | (340) 555-8872 | (491) 555-2505 |
| Sara        | (340) 555-8872 | (340) 555-8872 | (669) 555-6918 |
| Taylor      | (286) 555-6063 | (286) 555-6063 | (310) 555-8568 |
| Taylor      | (286) 555-6063 | (286) 555-6063 | (344) 555-9601 |
| Taylor      | (286) 555-6063 | (286) 555-6063 | (676) 555-6554 |
| Taylor      | (286) 555-6063 | (286) 555-6063 | (789) 555-8833 |
| Brooke      | (122) 555-4581 | (122) 555-4581 | (031) 555-9915 |
| Brooke      | (122) 555-4581 | (122) 555-4581 | (831) 555-0973 |
| Luca        | (389) 555-5198 | (389) 555-5198 | (368) 555-3561 |
| Luca        | (389) 555-5198 | (389) 555-5198 | (609) 555-5876 |
| Billy       | (060) 555-2489 | (060) 555-2489 | (204) 555-4136 |
| Billy       | (060) 555-2489 | (060) 555-2489 | (243) 555-7229 |
| Billy       | (060) 555-2489 | (060) 555-2489 | (286) 555-6063 |
| Anna        | (704) 555-2131 | (704) 555-2131 | (324) 555-0416 |
| Anna        | (704) 555-2131 | (704) 555-2131 | (499) 555-9472 |
| Anna        | (704) 555-2131 | (704) 555-2131 | (891) 555-5672 |
| Barbara     | (367) 555-0409 | (367) 555-0409 | (544) 555-8087 |
| Barbara     | (367) 555-0409 | (367) 555-0409 | (696) 555-9195 |
| Barbara     | (367) 555-0409 | (367) 555-0409 | (918) 555-2946 |
| Wayne       | (056) 555-0309 | (056) 555-0309 | (321) 555-6083 |
| Wayne       | (056) 555-0309 | (056) 555-0309 | (914) 555-5994 |
| Wayne       | (056) 555-0309 | (056) 555-0309 | (971) 555-6468 |
| Jesse       | (693) 555-7986 | (693) 555-7986 | (007) 555-2874 |
| Jesse       | (693) 555-7986 | (693) 555-7986 | (066) 555-9701 |
| Jesse       | (693) 555-7986 | (693) 555-7986 | (337) 555-9411 |
| Stephanie   | (204) 555-4136 | (204) 555-4136 | (338) 555-6650 |
| Stephanie   | (204) 555-4136 | (204) 555-4136 | (343) 555-0167 |
| Stephanie   | (204) 555-4136 | (204) 555-4136 | (406) 555-4440 |
| Samantha    | (956) 555-1395 | (956) 555-1395 | (031) 555-9915 |
| Samantha    | (956) 555-1395 | (956) 555-1395 | (892) 555-8872 |
| Samantha    | (956) 555-1395 | (956) 555-1395 | (984) 555-5921 |
| Jean        | (695) 555-0348 | (695) 555-0348 | (095) 555-3639 |
| Jean        | (695) 555-0348 | (695) 555-0348 | (338) 555-6650 |
| Jean        | (695) 555-0348 | (695) 555-0348 | (367) 555-5533 |
| Zachary     | (839) 555-1757 | (839) 555-1757 | (204) 555-4136 |
| Zachary     | (839) 555-1757 | (839) 555-1757 | (487) 555-5865 |
| Zachary     | (839) 555-1757 | (839) 555-1757 | (547) 555-8781 |
| Diana       | (770) 555-1861 | (770) 555-1861 | (123) 555-5144 |
| Diana       | (770) 555-1861 | (770) 555-1861 | (680) 555-4935 |
| Diana       | (770) 555-1861 | (770) 555-1861 | (725) 555-3243 |
| Diana       | (770) 555-1861 | (770) 555-1861 | (770) 555-1196 |
| Randy       | (984) 555-5921 | (984) 555-5921 | (068) 555-0183 |
| Randy       | (984) 555-5921 | (984) 555-5921 | (618) 555-9856 |
| Randy       | (984) 555-5921 | (984) 555-5921 | (826) 555-1652 |
| Hannah      | (877) 555-0523 | (877) 555-0523 | (636) 555-4198 |
| Hannah      | (877) 555-0523 | (877) 555-0523 | (801) 555-8906 |
| Olivia      | (258) 555-5627 | (258) 555-5627 | (130) 555-0289 |
| Olivia      | (258) 555-5627 | (258) 555-5627 | (695) 555-0348 |
| Olivia      | (258) 555-5627 | (258) 555-5627 | (901) 555-8732 |
| Bradley     | (873) 555-8470 | (873) 555-8470 | (041) 555-4011 |
| Bradley     | (873) 555-8470 | (873) 555-8470 | (336) 555-0077 |
| Bradley     | (873) 555-8470 | (873) 555-8470 | (544) 555-8087 |
| Joseph      | (238) 555-5554 | (238) 555-5554 | (310) 555-8568 |
| Joseph      | (238) 555-5554 | (238) 555-5554 | (344) 555-9601 |
| Joseph      | (238) 555-5554 | (238) 555-5554 | (380) 555-4380 |
| Theresa     | (190) 555-4928 | (190) 555-4928 | (122) 555-4581 |
| Theresa     | (190) 555-4928 | (190) 555-4928 | (821) 555-5262 |
| Theresa     | (190) 555-4928 | (190) 555-4928 | (962) 555-5827 |
| Michael     | (529) 555-7276 | (529) 555-7276 | (636) 555-3370 |
| Michael     | (529) 555-7276 | (529) 555-7276 | (789) 555-8833 |
| Nicholas    | (095) 555-3639 | (095) 555-3639 | (188) 555-4719 |
| Nicholas    | (095) 555-3639 | (095) 555-3639 | (452) 555-8550 |
| Nicholas    | (095) 555-3639 | (095) 555-3639 | (645) 555-8082 |
| Kathleen    | (960) 555-2044 | (960) 555-2044 | (260) 555-0610 |
| Kathleen    | (960) 555-2044 | (960) 555-2044 | (601) 555-6795 |
| Kathleen    | (960) 555-2044 | (960) 555-2044 | (770) 555-1196 |
| William     | (324) 555-0416 | (324) 555-0416 | (190) 555-4928 |
| William     | (324) 555-0416 | (324) 555-0416 | (452) 555-8550 |
| William     | (324) 555-0416 | (324) 555-0416 | (704) 555-5790 |
| Kelsey      | (499) 555-9472 | (499) 555-9472 | (020) 555-6715 |
| Kelsey      | (499) 555-9472 | (499) 555-9472 | (717) 555-1342 |
| Kelsey      | (499) 555-9472 | (499) 555-9472 | (770) 555-1861 |
| Kelsey      | (499) 555-9472 | (499) 555-9472 | (892) 555-8872 |
| Kelsey      | (499) 555-9472 | (499) 555-9472 | (996) 555-8899 |
| Kathryn     | (609) 555-5876 | (609) 555-5876 | (389) 555-5198 |
| Kathryn     | (609) 555-5876 | (609) 555-5876 | (389) 555-5198 |
| Kathryn     | (609) 555-5876 | (609) 555-5876 | (839) 555-1757 |
| Jack        | (996) 555-8899 | (996) 555-8899 | (059) 555-4698 |
| Jack        | (996) 555-8899 | (996) 555-8899 | (618) 555-9856 |
| Jack        | (996) 555-8899 | (996) 555-8899 | (831) 555-0973 |
| Paul        | (357) 555-0246 | (357) 555-0246 | (209) 555-7806 |
| Paul        | (357) 555-0246 | (357) 555-0246 | (502) 555-6712 |
| Paul        | (357) 555-0246 | (357) 555-0246 | (730) 555-5115 |
| Mary        | (188) 555-4719 | (188) 555-4719 | (125) 555-8030 |
| Mary        | (188) 555-4719 | (188) 555-4719 | (394) 555-3247 |
| Mary        | (188) 555-4719 | (188) 555-4719 | (601) 555-6795 |
| Betty       | (233) 555-0473 | (233) 555-0473 | (068) 555-0183 |
| Betty       | (233) 555-0473 | (233) 555-0473 | (478) 555-1565 |
| Betty       | (233) 555-0473 | (233) 555-0473 | (831) 555-0973 |
| Arthur      | (394) 555-3247 | (394) 555-3247 | (035) 555-2997 |
| Arthur      | (394) 555-3247 | (394) 555-3247 | (234) 555-1294 |
| Arthur      | (394) 555-3247 | (394) 555-3247 | (717) 555-1342 |
| Justin      | (721) 555-1131 | (721) 555-1131 | (067) 555-4133 |
| Justin      | (721) 555-1131 | (721) 555-1131 | (450) 555-8297 |
| Justin      | (721) 555-1131 | (721) 555-1131 | (998) 555-1979 |
| Dylan       | (380) 555-4380 | (380) 555-4380 | (037) 555-8455 |
| Dylan       | (380) 555-4380 | (380) 555-4380 | (188) 555-4719 |
| Dylan       | (380) 555-4380 | (380) 555-4380 | (680) 555-4935 |
| Bryan       | (696) 555-9195 | (696) 555-9195 | (258) 555-5627 |
| Bryan       | (696) 555-9195 | (696) 555-9195 | (357) 555-0246 |
| Bryan       | (696) 555-9195 | (696) 555-9195 | (891) 555-5672 |
| Ralph       | (771) 555-7880 | (771) 555-7880 | (286) 555-6063 |
| Ralph       | (771) 555-7880 | (771) 555-7880 | (645) 555-8082 |
| Ralph       | (771) 555-7880 | (771) 555-7880 | (711) 555-3007 |
| Jessica     | (786) 555-5321 | (786) 555-5321 | (125) 555-8030 |
| Jessica     | (786) 555-5321 | (786) 555-5321 | (771) 555-6667 |
| Jessica     | (786) 555-5321 | (786) 555-5321 | (911) 555-0229 |
| Benjamin    | (680) 555-4935 | (680) 555-4935 | (195) 555-4173 |
| Benjamin    | (680) 555-4935 | (680) 555-4935 | (730) 555-5115 |
| Benjamin    | (680) 555-4935 | (680) 555-4935 | (932) 555-1504 |
| Jerry       | (558) 555-9741 | (558) 555-9741 | (738) 555-2050 |
| Jerry       | (558) 555-9741 | (558) 555-9741 | (801) 555-9266 |
| Jerry       | (558) 555-9741 | (558) 555-9741 | (918) 555-2946 |
| Janet       | (464) 555-2162 | (464) 555-2162 | (329) 555-5870 |
| Janet       | (464) 555-2162 | (464) 555-2162 | (505) 555-5698 |
| Janet       | (464) 555-2162 | (464) 555-2162 | (660) 555-3095 |
| Peter       | (751) 555-6567 | (751) 555-6567 | (594) 555-6254 |
| Peter       | (751) 555-6567 | (751) 555-6567 | (696) 555-9195 |
| Peter       | (751) 555-6567 | (751) 555-6567 | (826) 555-1652 |
| Joe         | (452) 555-8550 | (452) 555-8550 | (098) 555-1164 |
| Joe         | (452) 555-8550 | (452) 555-8550 | (496) 555-2096 |
| Joe         | (452) 555-8550 | (452) 555-8550 | (994) 555-3373 |
